BizMsgIdr,Sndr,Rcvr,CreDt
1Ke4JmBaZrgERrFiUGwBNxS9CR7osLBf1g,RBIP0NEFTSC,CBNK0000001,2024-03-21T19:13:04Z
19K8gzrzNLm6w6eohmJ2xyKnNyFDiPDWQz,RBIP0NEFTSC,DBNK0000001,2024-09-28T22:35:04Z
1FvkQzPSFmdFGygNbHaGFutobJs3HUwU57,RBIP0NEFTSC,ABNK0000001,2024-10-15T09:13:03Z
17afBV3dM3roE8jrfQbKv3R3DeoyRfN6pg,RBIP0NEFTSC,BBNK0000001,2024-07-21T00:26:18Z
18upoep9rDrpaX7EGQLXcrqMKr88PyPPia,RBIP0NEFTSC,ABNK0000001,2024-11-13T17:52:02Z
1MQXT42KKrJwVRWXFuBSUV7q4DXYrzRMPK,RBIP0NEFTSC,ABNK0000001,2024-08-16T22:07:23Z
1NovrPjqDqCsk7rYGXogxJVGZZYMZywp92,RBIP0NEFTSC,ABNK0000001,2024-06-19T05:11:44Z
16gpEcAaH91gKGQJkPyLmjtvaJ7sF4B64F,RBIP0NEFTSC,DBNK0000001,2024-07-05T06:45:59Z
12Sn6BDEqCwoQMy1hEHWoQiD3fbZ3sskQY,RBIP0NEFTSC,DBNK0000001,2024-06-08T07:48:29Z
1F6UhSu6JJnfbvyB63wDrkzRzSzTmCkWRg,RBIP0NEFTSC,BBNK0000001,2024-09-08T10:29:34Z
12Z7GdLSnHmUfhxHtVoJpPTFx2PmyXPs2F,RBIP0NEFTSC,CBNK0000001,2024-07-31T12:38:21Z
1NFtRQSZ6u1p72YMkqkuJE7ms8Yi4BoxqC,RBIP0NEFTSC,CBNK0000001,2024-04-21T15:04:45Z
19FrLYU231aB86mLQ6E1QS4uid4btLRk2Z,RBIP0NEFTSC,ABNK0000001,2024-10-24T21:42:12Z
15aadjKmdc2SmVPw9VKkGKsZapA3LFr8y1,RBIP0NEFTSC,DBNK0000001,2024-10-01T14:07:32Z
1M1r7VagUKzy2GLYmCZGtnVhdgEFwMWRYx,RBIP0NEFTSC,ABNK0000001,2024-04-18T03:00:40Z
1MjP3FcdztRvPCinr93obLPx2pP1WMwAht,RBIP0NEFTSC,ABNK0000001,2024-10-24T06:57:04Z
1PwiaxdYsqdEQJaPG2zUp78wP34bMHRjPT,RBIP0NEFTSC,ABNK0000001,2025-01-16T21:33:39Z
1Aqzp86hTmMVUhjt3cgv3z8W13Fd7mejeP,RBIP0NEFTSC,DBNK0000001,2025-02-07T15:22:08Z
14hDwkUAnA9DCLUpDLhLdJTGcK7R7Vj99L,RBIP0NEFTSC,BBNK0000001,2024-11-10T00:19:30Z
1Fgko2x8XfKoQDF79Bb8CS1Df9yFpi4yvq,RBIP0NEFTSC,ABNK0000001,2025-02-20T12:39:57Z
13CYckBtqTLCTGAGxwGJKoQbHoHMynmSur,RBIP0NEFTSC,BBNK0000001,2024-08-20T01:43:55Z
1N6jsH2DQ1M4uJPV6D7med23yreSL9DJLQ,RBIP0NEFTSC,BBNK0000001,2024-06-29T02:27:39Z
12oV9MVQh634qQRgM9gufQUprgDvVbJgvP,RBIP0NEFTSC,ABNK0000001,2024-05-23T23:07:53Z
1HJaoXLhQubo5C9NiM1x8yc58xdkaSCi5u,RBIP0NEFTSC,CBNK0000001,2024-06-12T09:04:32Z
17BKmLb2HcsaG1vCjxxdDu1VyhYExLsUyW,RBIP0NEFTSC,CBNK0000001,2024-03-27T07:04:08Z
17hQEkPmoYJCKBJTXRB6oqDA93qvfJjEc,RBIP0NEFTSC,ABNK0000001,2024-05-23T21:56:40Z
18gsGS9DH2zu3WPNG3jV57PEBNPRQy2Va2,RBIP0NEFTSC,BBNK0000001,2024-10-07T08:18:19Z
125mnKuu1EypeaY4FGJH9WKarSeZdFpwNZ,RBIP0NEFTSC,BBNK0000001,2024-10-14T20:15:54Z
1L5f1Ez7bDpVa4meMCRGDtMp37wvyoH3pa,RBIP0NEFTSC,CBNK0000001,2024-04-18T15:01:31Z
1NjVNnQH4cZTTL8GCJyNFN9C7jJv5VBiAn,RBIP0NEFTSC,BBNK0000001,2024-07-14T16:12:32Z
19QiooU3egrHic62WVLgjbHRTV7jDENcQE,RBIP0NEFTSC,CBNK0000001,2025-02-13T20:14:52Z
1Cx3GD6VC4JBK1cNzZJbXFeZz8u9vHoMLe,RBIP0NEFTSC,CBNK0000001,2024-09-26T03:34:53Z
1Dy6TJCd25fQBnaYPeNvDvvTA4q766yi96,RBIP0NEFTSC,BBNK0000001,2025-02-23T22:26:07Z
1HvuXtam9J6u9NvKaRpJ6gq6VME24tQpuW,RBIP0NEFTSC,DBNK0000001,2025-02-19T14:23:15Z
1CB7Cn5Kwczqxm4BUVvRBaMkvc8uXdM1HK,RBIP0NEFTSC,BBNK0000001,2024-07-18T19:51:22Z
1CEPkxbLN5i6twdtvRq7aiyqLcpKifnaHX,RBIP0NEFTSC,BBNK0000001,2024-07-08T10:50:01Z
13Td7UpQ1seBid5s1hgTdsmPRzkwVnyoGA,RBIP0NEFTSC,BBNK0000001,2025-01-22T11:25:05Z
17EFtcz1izFcUXahTXg2gLkBPBUKMec5V5,RBIP0NEFTSC,BBNK0000001,2024-06-05T22:29:56Z
1GuZHD3APGXktmisBCBudFSfzYFwgbcd7i,RBIP0NEFTSC,CBNK0000001,2024-12-02T21:14:34Z
143cTJQ2sCrbo1CAR74DLVJoTptnD8kDT3,RBIP0NEFTSC,DBNK0000001,2024-03-31T00:46:37Z
148C8yrSdgeA5Abq7vZUo8eBRoCjoF8HSk,RBIP0NEFTSC,CBNK0000001,2024-07-09T13:18:01Z
1JEJd4EwnLB5GfXDfcxLWivKiADxYN4GEH,RBIP0NEFTSC,DBNK0000001,2024-08-11T17:16:19Z
18YwRdSy3kQA3aY8qDyRB5kPqSJShmcukZ,RBIP0NEFTSC,DBNK0000001,2025-02-20T04:08:47Z
1BoMx9jR4zPnZ5K3JgjTUs6DdQisij7o5t,RBIP0NEFTSC,BBNK0000001,2024-05-16T04:21:47Z
1DwEHANsthNcE8vcDkibHwA5VBXoiL33d5,RBIP0NEFTSC,CBNK0000001,2024-12-10T03:17:14Z
1GF2Au5nB2Dyqzphre7JxLadGsRiRDbS7c,RBIP0NEFTSC,DBNK0000001,2024-08-10T18:27:46Z
